equipment_id,timestamp,sensor_name,value,unit,period,provenance
EQ-CONV-336,2026-01-09T12:00:00Z,current_a,25.96,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-09T18:00:00Z,current_a,22.55,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-10T00:00:00Z,current_a,21.24,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-10T06:00:00Z,current_a,22.38,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-10T12:00:00Z,current_a,26.02,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-10T18:00:00Z,current_a,23.39,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-11T00:00:00Z,current_a,21.25,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-11T06:00:00Z,current_a,22.34,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-11T12:00:00Z,current_a,26.68,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-11T18:00:00Z,current_a,22.25,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-12T00:00:00Z,current_a,22.22,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-12T06:00:00Z,current_a,22.32,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-12T12:00:00Z,current_a,24.50,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-12T18:00:00Z,current_a,22.52,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-13T00:00:00Z,current_a,20.26,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-13T06:00:00Z,current_a,21.91,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-13T12:00:00Z,current_a,23.89,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-13T18:00:00Z,current_a,24.06,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-14T00:00:00Z,current_a,20.12,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-14T06:00:00Z,current_a,24.43,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-14T12:00:00Z,current_a,24.28,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-14T18:00:00Z,current_a,21.69,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-15T00:00:00Z,current_a,20.43,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-15T06:00:00Z,current_a,22.04,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-15T12:00:00Z,current_a,24.53,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-15T18:00:00Z,current_a,22.54,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-16T00:00:00Z,current_a,18.71,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-16T06:00:00Z,current_a,23.32,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-16T12:00:00Z,current_a,23.59,A,2026-S1,fabriquée
EQ-CONV-336,2026-01-16T18:00:00Z,current_a,22.00,A,2026-S1,fabriquée
EQ-MIX-379,2026-01-17T00:00:00Z,vibration_mm_s,3.07,mm/s,2026-S1,réelle
EQ-MIX-379,2026-01-17T06:00:00Z,vibration_mm_s,2.02,mm/s,2026-S1,réelle
EQ-MIX-379,2026-01-17T12:00:00Z,vibration_mm_s,2.49,mm/s,2026-S1,réelle
EQ-MIX-379,2026-01-17T18:00:00Z,vibration_mm_s,3.26,mm/s,2026-S1,réelle
EQ-MIX-379,2026-01-18T00:00:00Z,vibration_mm_s,2.27,mm/s,2026-S1,réelle
EQ-MIX-379,2026-01-18T06:00:00Z,vibration_mm_s,2.28,mm/s,2026-S1,réelle
EQ-MIX-379,2026-01-18T12:00:00Z,vibration_mm_s,2.54,mm/s,2026-S1,réelle
