equipment_id,timestamp,sensor_name,value,unit,period
EQ-CAB-134,2025-12-28T06:00:00Z,current_a,24.48,A,2026-S1
EQ-PUMP-001,2025-12-29T12:00:00Z,vibration_mm_s,2.71,mm/s,2026-S1
EQ-CAB-134,2026-01-02T00:00:00Z,current_a,23.23,A,2026-S1
EQ-CAB-134,2026-01-02T00:00:00Z,temperature_c,60.13,°C,2026-S1
EQ-CHILL-001,2026-01-02T00:00:00Z,pressure_bar,577.00,kPa,2026-S1
EQ-CHILL-001,2026-01-02T00:00:00Z,temperature_c,56.39,°C,2026-S1
EQ-CHILL-115,2026-01-02T00:00:00Z,pressure_bar,7.38,bar,2026-S1
EQ-CHILL-115,2026-01-02T00:00:00Z,temperature_c,56.88,°C,2026-S1
EQ-CHILL-168,2026-01-02T00:00:00Z,pressure_bar,7.41,bar,2026-S1
EQ-CHILL-168,2026-01-02T00:00:00Z,temperature_c,61.63,°C,2026-S1
EQ-CHILL-188,2026-01-02T00:00:00Z,pressure_bar,6.47,bar,2026-S1
EQ-CHILL-188,2026-01-02T00:00:00Z,temperature_c,62.48,°C,2026-S1
EQ-CHILL-248,2026-01-02T00:00:00Z,pressure_bar,6.69,bar,2026-S1
EQ-CHILL-248,2026-01-02T00:00:00Z,temperature_c,52.61,°C,2026-S1
EQ-COMP-002,2026-01-02T00:00:00Z,pressure_bar,6.26,bar,2026-S1
EQ-COMP-002,2026-01-02T00:00:00Z,temperature_c,63.05,°C,2026-S1
EQ-COMP-113,2026-01-02T00:00:00Z,pressure_bar,6.37,bar,2026-S1
EQ-COMP-113,2026-01-02T00:00:00Z,temperature_c,65.66,°C,2026-S1
EQ-COMP-233,2026-01-02T00:00:00Z,pressure_bar,6.50,bar,2026-S1
EQ-COMP-233,2026-01-02 00:00:00,temperature_c,64.47,°C,2026-S1
EQ-COMP-249,2026-01-02T00:00:00Z,pressure_bar,5.67,bar,2026-S1
EQ-COMP-396,2026-01-02T00:00:00Z,pressure_bar,5.82,bar,2026-S1
EQ-CONV-003,2026-01-02T00:00:00Z,current_a,18.56,A,2026-S1
EQ-CONV-003,2026-01-02T00:00:00Z,rpm,1283.33,rpm,2026-S1
EQ-CONV-262,2026-01-02T00:00:00Z,current_a,30.32,A,2026-S1
EQ-CONV-262,2026-01-02T00:00:00Z,rpm,1480.95,rpm,2026-S1
EQ-CONV-336,2026-01-02T00:00:00Z,current_a,23.57,A,2026-S1
EQ-CONV-336,2026-01-02T00:00:00Z,rpm,1336.11,rpm,2026-S1
EQ-CONV-376,2026-01-02T00:00:00Z,current_a,21.98,A,2026-S1
EQ-CONV-376,2026-01-02T00:00:00Z,rpm,1518.83,rpm,2026-S1
EQ-FAN-002,2026-01-02T00:00:00Z,current_a,21.54,A,2026-S1
EQ-FAN-002,2026-01-02T00:00:00Z,rpm,1251.49,rpm,2026-S1
EQ-FAN-002,2026-01-02T00:00:00Z,vibration_mm_s,2.65,mm/s,2026-S1
EQ-FAN-003,2026-01-02T00:00:00Z,rpm,1436.59,rpm,2026-S1
EQ-FAN-003,2026-01-02T00:00:00Z,vibration_mm_s,2.69,mm/s,2026-S1
EQ-FAN-204,2026-01-02T00:00:00Z,vibration_mm_s,2.45,mm/s,2026-S1
